;Advertising_num_days;CarName;ID;Price_rub;Seller;Seller_location;Views;Car_age;Gear_box;Parsing date;Autocode_checked;Owners_N;Last_owner_time_years;Warranty_end;Engine_capacity;Engine_hp;Engine_fuel_type;Body_type;Swap_type;Original_car_passport;Wheel_drive_type;run_km;Left_steering;is_metallic_color;Color;Opt_Обивка салона: комбинированный;Opt_Цвет салона: темный;Opt_Тонированные стекла;Opt_Ксеноновые фары;Opt_;"Opt_Легкосплавные диски: 17""";Opt_Иммобилайзер;Opt_Штатная;Opt_Бортовой компьютер;Opt_Датчик дождя;Opt_Датчик света;Opt_Круиз-контроль;Opt_Навигационная система;Opt_Обогрев зеркал;Opt_Омыватель фар;Opt_Центральный замок;Opt_Усилитель руля;Opt_Подогрев руля;Opt_Обогрев сидений;Opt_Количество мест: 5;Opt_Климат: климат-контроль 2-зонный;Opt_Электропривод зеркал;Opt_Стеклоподъемники: электро все;Opt_Сиденье водителя: электро;Opt_Сиденье пассажира: электро ;Opt_Регулировка руля: электро;Opt_Антиблокировочная система (ABS);Opt_Антипробуксовочная система;Opt_Система курсовой устойчивости;Opt_Подушки безопасности: передние и боковые;Opt_Парктроник;Opt_CD;Opt_TV;Opt_Обивка салона: кожа;Opt_Люк на крыше;"Opt_Легкосплавные диски: 16""";Opt_Обратная связь;Opt_Дистанционный запуск двигателя;Opt_Регулировка руля: в одной плоскости;"Opt_Легкосплавные диски: 18""";Opt_Сиденье водителя: с памятью положения;Opt_Регулировка руля: в двух плоскостях;Opt_Цвет салона: светлый;Opt_Подушки безопасности: водителя и пассажира;"Opt_Легкосплавные диски: 12""";Opt_Климат: климат-контроль 1-зонный;Opt_Стеклоподъемники: электро передние;Opt_Сиденье водителя: ручная ;Opt_Сиденье пассажира: ручная ;Opt_Обивка салона: велюр;Opt_Кассетник;Opt_Климат: климат-контроль 3-зонный;Opt_Стеклоподъемники: ручные;Opt_Обивка салона: ткань;Opt_Сиденье пассажира: с памятью положения;Opt_Количество мест: 2;"Opt_Легкосплавные диски: 15""";Opt_Количество мест: 4;"Opt_Легкосплавные диски: 19""";Opt_Сиденье пассажира: ручная по высоте;Opt_Сиденье водителя: ручная по высоте;Opt_Количество мест: 7;Opt_Климат: кондиционер;Opt_Газобаллонное оборудование;"Opt_Легкосплавные диски: 20""";"Opt_Легкосплавные диски: 14""";Opt_Подушки безопасности: водителя;Opt_Количество мест: 6;"Opt_Легкосплавные диски: 13""";"Opt_Легкосплавные диски: 22"""
4454;10.0;Mazda 6 I;1034531232;315000;person;Москва, прочие адреса;39629;11;Автоматическая;2016-04-13;1;3;2.0;0.0;2.0;141.0;бензин;Седан;Не интересует;1.0;Передний;174700.0;1.0;0;Серый;0;1;1;0;0;0;0;1;1;0;0;1;0;1;0;1;1;0;1;0;0;1;1;1;0;0;1;1;1;1;0;1;0;1;1;1;0;0;0;0;0;1;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4455;59.0;Mazda 6 I;1031092147;290000;person;Москва, прочие адреса;116712;13;Механическая;2016-04-13;0;2;2.4166666666666665;0.0;2.0;141.0;бензин;Седан;Не интересует;1.0;Передний;142775.0;1.0;0;Черный;0;1;0;0;0;0;1;0;1;0;0;0;0;1;0;1;1;0;1;0;0;1;1;1;0;0;0;0;0;1;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4456;65.0;Mazda 6 II;1030704185;590000;person;Москва, прочие адреса;299234;8;Автоматическая;2016-04-13;0;not mentioned;0.08333333333333333;0.0;2.0;147.0;бензин;Универсал 5 дв.;Рассмотрю варианты;1.0;Передний;120000.0;1.0;1;Черный;0;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;0;0;1;1;0;0;0;1;1;1;1;0;1;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0
4457;58.0;Mazda 6 II;1031159647;530000;person;Москва, прочие адреса;7985;8;Автоматическая;2016-04-13;1;2;3.5;0.0;2.0;147.0;бензин;Седан;Не интересует;1.0;Передний;187000.0;1.0;0;Красный;1;1;1;1;1;0;1;1;1;1;1;1;0;1;0;1;1;0;1;0;1;1;1;0;0;0;1;1;1;0;0;1;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
4458;83.0;Mazda 6 II;1029490169;770000;person;Москва, прочие адреса;284720;5;Автоматическая;2016-04-13;0;1;4.0;0.0;2.0;147.0;бензин;Седан;Не интересует;1.0;Передний;48000.0;1.0;0;Белый;0;1;0;1;0;0;0;1;1;1;1;1;1;1;1;1;1;0;1;0;1;1;1;0;0;0;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0
4459;18.0;Mazda 6 II;1033923305;500000;person;Москва, прочие адреса;73831;8;Механическая;2016-04-13;0;2;4.583333333333333;0.0;1.8;120.0;бензин;Седан;Не интересует;1.0;Передний;96000.0;1.0;0;Фиолетовый;0;1;1;1;0;0;0;1;0;1;1;1;0;1;1;1;0;0;1;0;0;1;1;0;0;0;1;1;0;1;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0
4460;3.0;Mazda 6 II;1035007093;580000;Мос-Авто;Москва, ул. Люблинская, д. 60, стр. 1 (м.Текстильщики);6161;4;Механическая;2016-04-13;0;1;1.5833333333333335;0.0;1.8;120.0;бензин;Седан;Не интересует;1.0;Передний;88624.0;1.0;1;Серый;0;1;1;0;0;1;0;1;1;1;1;1;0;1;1;1;1;0;1;1;1;1;1;0;0;0;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0
4461;8.0;Mazda 6 II;1034691549;590000;person;Москва, Россия, Москва;1608215;5;Автоматическая;2016-04-13;0;1;1.5833333333333335;0.0;2.0;147.0;бензин;Лифтбек;Не интересует;1.0;Передний;65000.0;1.0;0;Коричневый;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4462;21.0;Mazda 6 II;1033707969;750000;person;Москва;73223;7;Автоматическая;2016-04-13;1;2;0.0;0.0;2.5;170.0;бензин;Седан;Не интересует;1.0;Передний;58366.0;1.0;0;Коричневый;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;0;1;0;1;1;1;0;0;0;1;1;1;1;1;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4463;47.0;Mazda 6 I;1031887767;380000;person;Москва, прочие адреса;64016;10;Автоматическая;2016-04-13;0;3;1.5833333333333335;0.0;2.0;147.0;бензин;Седан;Не интересует;1.0;Передний;106500.0;1.0;0;Синий;0;0;0;0;0;0;0;1;0;1;0;1;0;1;1;0;1;0;1;0;0;1;1;0;0;0;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;1;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
4464;31.0;Mazda 6 I;1032973587;120000;person;Москва, прочие адреса;3612386;10;Автоматическая;2016-04-13;0;not mentioned;1.5833333333333335;0.0;2.0;147.0;бензин;Седан;Рассмотрю варианты;1.0;Передний;288000.0;1.0;0;Черный;0;0;1;1;0;0;0;1;1;0;0;1;0;1;1;1;1;0;1;0;0;0;1;1;1;0;1;0;1;0;1;1;0;1;1;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
4465;11.0;Mazda 6 II;1034460242;525000;person;Москва, Россия, Москва;887114;6;Механическая;2016-04-13;0;1;1.5833333333333335;0.0;1.8;120.0;бензин;Лифтбек;Не интересует;1.0;Передний;80000.0;1.0;0;Черный;0;1;1;0;0;0;1;1;1;0;1;0;0;1;1;1;1;0;1;1;0;0;1;0;0;0;1;1;1;0;1;1;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0
4466;13.0;Mazda 6 II;1034288412;599000;person;Москва, прочие адреса;59117;5;Механическая;2016-04-13;0;1;4.5;0.0;1.8;120.0;бензин;Седан;С доплатой покупателя;1.0;Передний;88000.0;1.0;0;Белый;0;0;1;1;0;0;1;1;1;0;0;1;0;1;0;1;1;0;1;0;1;1;1;0;0;0;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4467;33.0;Mazda 6 I;1032835423;360000;person;Москва, прочие адреса;130332;10;Автоматическая;2016-04-13;0;2;1.5833333333333335;0.0;2.0;147.0;бензин;Седан;Не интересует;1.0;Передний;125000.0;1.0;1;Черный;0;1;1;1;0;0;0;1;1;0;0;0;0;1;1;1;1;0;1;0;0;1;1;0;0;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0
4468;34.0;Mazda 6 II;1032756921;560000;person;Москва;116724;8;Автоматическая;2016-04-13;0;2;0.5;0.0;2.0;147.0;бензин;Седан;Рассмотрю варианты;1.0;Передний;104000.0;1.0;0;Черный;1;1;1;1;0;0;0;1;1;1;1;1;0;1;1;1;1;0;1;0;1;1;1;0;0;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4469;52.0;Mazda 6 II;1031553623;650000;person;Москва, прочие адреса;124713;6;Автоматическая;2016-04-13;0;2;2.0;0.0;2.0;147.0;бензин;Седан;Рассмотрю варианты;1.0;Передний;74000.0;1.0;0;Черный;0;0;1;1;0;0;0;1;1;1;1;1;0;1;1;1;1;0;1;0;1;1;1;0;0;0;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
